DEPTO,Poblacion,Mujeres,Hombres,Nombre_Depto
1,348880,184296,164584,Ahuachapán
2,552938,295006,257932,SantaAna
3,470455,250112,220343,Sonsonate
4,185930,98248,87682,Chalatenango
5,765879,407822,358057,LaLibertad
6,1563371,843688,719683,San Salvador
7,244901,130746,114155,Cuscatlán
8,318374,168462,149912,LaPaz
9,143049,77416,65633,Cabañas
10,161857,86329,75528,SanVicente
11,325494,174148,151346,Usulután
12,447634,242193,205441,SanMiguel
13,169784,90728,79056,Morazán
14,224375,119312,105063,LaUnión
15,107055,12943,94112,
