DEPTO,Nivel_Educativo,Conteo,Nombre_Depto
1,Básica,175326,Ahuachapán
1,Especial,2232,Ahuachapán
1,Ignorado,1468,Ahuachapán
1,Inicial,12893,Ahuachapán
1,Media,68635,Ahuachapán
1,Ninguno,47310,Ahuachapán
1,Superior,19807,Ahuachapán
2,Básica,263306,SantaAna
2,Especial,3166,SantaAna
2,Ignorado,9791,SantaAna
2,Inicial,18927,SantaAna
2,Media,112583,SantaAna
2,Ninguno,60894,SantaAna
2,Superior,58288,SantaAna
3,Básica,233805,Sonsonate
3,Especial,3275,Sonsonate
3,Ignorado,2692,Sonsonate
3,Inicial,19094,Sonsonate
3,Media,97003,Sonsonate
3,Ninguno,54877,Sonsonate
3,Superior,32959,Sonsonate
4,Básica,95604,Chalatenango
4,Especial,1117,Chalatenango
4,Ignorado,1482,Chalatenango
4,Inicial,6863,Chalatenango
4,Media,30855,Chalatenango
4,Ninguno,26651,Chalatenango
4,Superior,14219,Chalatenango
5,Básica,312026,LaLibertad
5,Especial,5842,LaLibertad
5,Ignorado,19657,LaLibertad
5,Inicial,25253,LaLibertad
5,Media,183282,LaLibertad
5,Ninguno,70535,LaLibertad
5,Superior,113486,LaLibertad
6,Básica,585839,San Salvador
6,Especial,8881,San Salvador
6,Ignorado,23015,San Salvador
6,Inicial,48769,San Salvador
6,Media,471182,San Salvador
6,Ninguno,103974,San Salvador
6,Superior,260017,San Salvador
7,Básica,121957,Cuscatlán
7,Especial,1305,Cuscatlán
7,Ignorado,821,Cuscatlán
7,Inicial,9649,Cuscatlán
7,Media,59486,Cuscatlán
7,Ninguno,23174,Cuscatlán
7,Superior,15650,Cuscatlán
8,Básica,159818,LaPaz
8,Especial,1773,LaPaz
8,Ignorado,2330,LaPaz
8,Inicial,12569,LaPaz
8,Media,71662,LaPaz
8,Ninguno,32431,LaPaz
8,Superior,20808,LaPaz
9,Básica,77900,Cabañas
9,Especial,877,Cabañas
9,Ignorado,1447,Cabañas
9,Inicial,5451,Cabañas
9,Media,20635,Cabañas
9,Ninguno,20332,Cabañas
9,Superior,8217,Cabañas
10,Básica,80294,SanVicente
10,Especial,919,SanVicente
10,Ignorado,3587,SanVicente
10,Inicial,6446,SanVicente
10,Media,29202,SanVicente
10,Ninguno,18670,SanVicente
10,Superior,14307,SanVicente
11,Básica,154818,Usulután
11,Especial,3034,Usulután
11,Ignorado,1601,Usulután
11,Inicial,12756,Usulután
11,Media,64884,Usulután
11,Ninguno,47058,Usulután
11,Superior,23782,Usulután
12,Básica,198680,SanMiguel
12,Especial,3347,SanMiguel
12,Ignorado,6161,SanMiguel
12,Inicial,15001,SanMiguel
12,Media,90075,SanMiguel
12,Ninguno,61715,SanMiguel
12,Superior,49319,SanMiguel
13,Básica,83108,Morazán
13,Especial,1254,Morazán
13,Ignorado,655,Morazán
13,Inicial,6905,Morazán
13,Media,27819,Morazán
13,Ninguno,30096,Morazán
13,Superior,11002,Morazán
14,Básica,117412,LaUnión
14,Especial,2483,LaUnión
14,Ignorado,1868,LaUnión
14,Inicial,7550,LaUnión
14,Media,32508,LaUnión
14,Ninguno,39948,LaUnión
14,Superior,10537,LaUnión
15,Ignorado,107055,
